city,area,density,population,growth rate,socioeconomic,year founded,flatness_score,elevation_range,mean_elevation,median_elevation,num_sampled_points
Jerusalem,125420.0,7685.0,995073.0,2.1,3.0,1863.0,0.0200224524880527,282.0,746.322,755.0,1000
Tel Aviv,51830.0,9031.0,479153.0,1.2,8.0,1934.0,0.0923742415192336,65.0,20.673,20.0,1000
Haifa,64680.0,4374.0,296187.0,0.5,7.0,1873.0,0.0030334133405352,744.0,376.223,364.5,1000
Rishon LeZion,58860.0,4361.0,264001.0,1.0,7.0,1950.0,0.0769642168672525,68.0,54.432,55.0,1000
Petah Tikva,35720.0,7048.0,257388.0,1.8,7.0,1937.0,0.0668556271760357,65.0,33.741,33.0,1000
Netanya,29040.0,7730.0,238796.0,1.5,6.0,1948.0,0.0811694111342346,65.0,28.137,28.0,1000
Ashdod,46130.0,4900.0,227393.0,0.6,5.0,1968.0,0.1026984906791231,49.0,22.627,23.0,1000
Bnei Brak,7310.0,29027.0,221768.0,2.5,2.0,1950.0,0.0574107794920508,64.0,33.561,33.5,1000
Beer Sheva,117320.0,1800.0,215704.0,0.8,5.0,1950.0,0.0229641484270704,227.0,287.924,279.0,1000
Holon,19060.0,10314.0,197673.0,0.9,6.0,1950.0,0.1153897774003198,46.0,33.897,32.0,1000
Ramat Gan,16400.0,10328.0,175612.0,1.7,8.0,1950.0,0.0692209162813272,67.0,41.568,42.0,1000
Beit Shemesh,38670.0,3646.0,165582.0,4.2,2.0,1991.0,0.0179076594178167,268.0,298.945,295.0,1000
Ashkelon,45960.0,3241.0,159836.0,2.6,5.0,1950.0,0.0846548883433921,70.0,39.93,40.0,1000
Rehovot,23720.0,6217.0,152576.0,2.0,7.0,1950.0,0.0652245639964668,66.0,51.814,55.0,1000
Bat Yam,8160.0,15456.0,129442.0,-0.2,5.0,1958.0,0.0846400617648619,52.0,25.497,24.0,1000
Herzliya,21770.0,4715.0,108956.0,0.9,8.0,1960.0,0.0511002604397237,84.0,38.322,31.0,1000
Hadera,50640.0,1984.0,104731.0,2.5,6.0,1952.0,0.112985998809211,50.0,22.661,22.0,1000
Modiin,48330.0,2006.0,102283.0,1.5,9.0,2001.0,0.004607261551185,586.0,381.41,274.0,1000
Kfar Saba,14500.0,7017.0,101440.0,1.1,8.0,1962.0,0.0867799344532003,56.0,53.135,53.0,1000
Nazareth,14140.0,5508.0,77912.0,0.8,3.0,1875.0,0.014493615996164,358.0,343.112,344.0,1000
