Metric_Property_Pair,Correlation_Value
"('street_width', 'density')",-0.7684210526315788
"('building_neighbour_distance', 'density')",-0.7669172932330827
"('street_openness', 'density')",-0.7473684210526315
"('building_alignment', 'elevation_range')",0.7228923860647364
"('building_mean_interbuilding_distance', 'density')",-0.7097744360902255
"('building_street_alignment', 'flatness_score')",-0.7052631578947368
"('building_street_alignment', 'elevation_range')",0.6867477667614995
"('street_linearity', 'elevation_range')",-0.6822296893485948
"('street_linearity', 'median_elevation')",-0.6649116679317053
"('street_linearity', 'mean_elevation')",-0.6556390977443608
"('junction_closeness', 'population')",-0.6466165413533834
"('street_width_dev', 'year founded')",-0.6437740759356338
"('junction_x', 'flatness_score')",-0.6330827067669172
"('building_alignment', 'flatness_score')",-0.625563909774436
"('street_width_dev', 'density')",0.6120300751879698
"('street_width', 'area')",0.5969924812030075
"('street_orientation', 'density')",-0.5954887218045113
"('street_orientation', 'median_elevation')",0.5904475784235165
"('street_linearity', 'density')",0.5894736842105263
"('building_orientation', 'median_elevation')",0.5829259532206692
"('junction_x', 'mean_elevation')",0.5774436090225563
"('building_orientation', 'density')",-0.5774436090225563
"('street_linearity', 'flatness_score')",0.5759398496240601
"('street_orientation', 'mean_elevation')",0.5714285714285714
"('building_elongation', 'density')",-0.5593984962406015
"('junction_x', 'median_elevation')",0.5543437774498494
"('junction_x', 'elevation_range')",0.5376512121356476
"('building_orientation', 'mean_elevation')",0.5338345864661653
"('building_neighbour_distance', 'area')",0.5278195488721804
"('building_perimeter_wall', 'population')",0.5263157894736841
"('building_street_alignment', 'median_elevation')",0.5242572766384599
"('building_shared_walls_length', 'population')",0.5142857142857143
"('building_street_alignment', 'mean_elevation')",0.5052631578947367
"('building_street_alignment', 'socioeconomic')",-0.4985225291692867
"('junction_cyclomatic', 'population')",0.49323308270676686
"('building_alignment', 'mean_elevation')",0.49022556390977434
"('junction_gamma', 'population')",0.48872180451127817
"('building_alignment', 'median_elevation')",0.48664915062422326
"('building_elongation', 'mean_elevation')",0.4827067669172932
"('junction_meshedness', 'population')",0.4827067669172932
"('street_width', 'elevation_range')",0.48192825737649087
"('junction_closeness', 'year founded')",0.48090998989941147
"('street_openness', 'elevation_range')",0.4759041541592848
"('junction_cyclomatic', 'density')",0.47218045112781953
"('building_adjacency', 'density')",-0.47067669172932325
"('junction_mean_nd', 'population')",0.4661654135338345
"('street_orientation', 'elevation_range')",0.465361973529174
"('junction_edge_node_ratio', 'socioeconomic')",0.4634582534173185
"('building_adjacency', 'population')",-0.4631578947368421
"('building_circular_compactness', 'population')",-0.4616541353383458
"('junction_edge_node_ratio', 'population')",0.4601503759398496
"('street_openness', 'area')",0.4601503759398496
"('junction_degree', 'socioeconomic')",0.4573601185039327
"('junction_meanlen', 'median_elevation')",0.4558104872925491
"('junction_closeness', 'area')",-0.4496240601503759
"('street_mm_len', 'median_elevation')",0.44828886208970176
"('street_length', 'median_elevation')",0.44828886208970176
"('junction_meshedness', 'socioeconomic')",0.4474506492696808
"('building_orientation', 'elevation_range')",0.445783638073254
"('junction_mean_nd', 'density')",0.4451127819548871
"('junction_meanlen', 'elevation_range')",0.43674748324744483
"('building_squareness', 'elevation_range')",0.4352414574431433
"('street_orientation', 'area')",0.431578947368421
"('building_neighbour_distance', 'mean_elevation')",0.4300751879699248
"('building_perimeter_wall', 'density')",0.4300751879699248
"('street_length', 'elevation_range')",0.4292173542259372
"('street_mm_len', 'elevation_range')",0.4292173542259372
"('building_neighbour_distance', 'elevation_range')",0.4277113284216356
"('street_compactness_weighted_axis', 'year founded')",-0.4255976587927699
"('street_longest_axis_length', 'year founded')",-0.4255976587927699
"('building_mean_interbuilding_distance', 'area')",0.42556390977443603
"('junction_gamma', 'socioeconomic')",0.42305810961613777
"('junction_node_density_weighted', 'median_elevation')",-0.42045884883916657
"('junction_node_density_weighted', 'socioeconomic')",0.41924677529527166
