flatness_score,elevation_range,mean_elevation,median_elevation,num_sampled_points,city
0.014493615996164074,358.0,343.112,344.0,1000,Nazareth
0.0200224524880527,282.0,746.322,755.0,1000,Jerusalem
0.09237424151923365,65.0,20.673,20.0,1000,Tel Aviv
0.00303341334053528,744.0,376.223,364.5,1000,Haifa
0.07696421686725251,68.0,54.432,55.0,1000,Rishon LeZion
0.06685562717603571,65.0,33.741,33.0,1000,Petah Tikva
0.1026984906791231,49.0,22.627,23.0,1000,Ashdod
0.08116941113423468,65.0,28.137,28.0,1000,Netanya
0.02296414842707049,227.0,287.924,279.0,1000,Beer Sheva
0.0574107794920508,64.0,33.561,33.5,1000,Bnei Brak
0.1153897774003198,46.0,33.897,32.0,1000,Holon
0.06922091628132727,67.0,41.568,42.0,1000,Ramat Gan
0.06522456399646687,66.0,51.814,55.0,1000,Rehovot
0.08465488834339216,70.0,39.93,40.0,1000,Ashkelon
0.08464006176486198,52.0,25.497,24.0,1000,Bat Yam
0.01790765941781672,268.0,298.945,295.0,1000,Beit Shemesh
0.08677993445320031,56.0,53.135,53.0,1000,Kfar Saba
0.05110026043972375,84.0,38.322,31.0,1000,Herzliya
0.112985998809211,50.0,22.661,22.0,1000,Hadera
0.004607261551185095,586.0,381.41,274.0,1000,Modiin
